filename,imgname,height,width,class,xmin,ymin,xmax,ymax,label
Dodge Charger SRT-8 2009/00038.jpg,00038.jpg,360,480,Dodge Charger SRT-8 2009,16,89,459,326,97
Fisker Karma Sedan 2012/00039.jpg,00039.jpg,425,640,Fisker Karma Sedan 2012,53,113,614,350,105
Infiniti QX56 SUV 2011/00040.jpg,00040.jpg,469,750,Infiniti QX56 SUV 2011,214,110,660,403,142
Audi A5 Coupe 2012/00041.jpg,00041.jpg,480,640,Audi A5 Coupe 2012,61,55,566,408,13
Volkswagen Golf Hatchback 1991/00042.jpg,00042.jpg,452,640,Volkswagen Golf Hatchback 1991,28,61,622,371,191
GMC Savana Van 2012/00043.jpg,00043.jpg,417,596,GMC Savana Van 2012,22,39,588,362,119
BMW Z4 Convertible 2012/00044.jpg,00044.jpg,439,659,BMW Z4 Convertible 2012,220,193,537,364,38
Toyota Sequoia SUV 2012/00045.jpg,00045.jpg,375,500,Toyota Sequoia SUV 2012,12,108,489,297,186
Audi TT RS Coupe 2012/00046.jpg,00046.jpg,492,786,Audi TT RS Coupe 2012,28,80,759,466,25
Volvo 240 Sedan 1993/00047.jpg,00047.jpg,1200,1600,Volvo 240 Sedan 1993,84,248,1102,899,194
Rolls-Royce Phantom Sedan 2012/00048.jpg,00048.jpg,541,813,Rolls-Royce Phantom Sedan 2012,142,69,753,451,177
Porsche Panamera Sedan 2012/00049.jpg,00049.jpg,1067,1600,Porsche Panamera Sedan 2012,166,543,887,903,173
Bentley Continental GT Coupe 2012/00050.jpg,00050.jpg,407,580,Bentley Continental GT Coupe 2012,20,96,564,341,42
Dodge Dakota Club Cab 2007/00051.jpg,00051.jpg,480,640,Dodge Dakota Club Cab 2007,41,181,607,465,91
Jeep Grand Cherokee SUV 2012/00052.jpg,00052.jpg,424,808,Jeep Grand Cherokee SUV 2012,39,29,774,395,148
Audi R8 Coupe 2012/00053.jpg,00053.jpg,375,500,Audi R8 Coupe 2012,161,191,425,307,15
Dodge Charger SRT-8 2009/00054.jpg,00054.jpg,1200,1600,Dodge Charger SRT-8 2009,58,562,1528,1081,97
Bentley Continental GT Coupe 2012/00055.jpg,00055.jpg,433,620,Bentley Continental GT Coupe 2012,80,120,582,391,42
Cadillac Escalade EXT Crew Cab 2007/00056.jpg,00056.jpg,315,500,Cadillac Escalade EXT Crew Cab 2007,32,48,472,267,53
Bentley Continental Flying Spur Sedan 2007/00057.jpg,00057.jpg,498,1200,Bentley Continental Flying Spur Sedan 2007,260,138,972,439,44
Chevrolet Avalanche Crew Cab 2012/00058.jpg,00058.jpg,194,260,Chevrolet Avalanche Crew Cab 2012,11,35,256,173,65
Dodge Dakota Crew Cab 2010/00059.jpg,00059.jpg,480,640,Dodge Dakota Crew Cab 2010,68,91,607,354,90
HUMMER H3T Crew Cab 2010/00060.jpg,00060.jpg,300,400,HUMMER H3T Crew Cab 2010,129,120,345,269,124
Ford F-150 Regular Cab 2007/00061.jpg,00061.jpg,764,1023,Ford F-150 Regular Cab 2007,11,104,1011,742,114
Volkswagen Golf Hatchback 2012/00062.jpg,00062.jpg,280,450,Volkswagen Golf Hatchback 2012,19,21,425,265,190
Ferrari FF Coupe 2012/00063.jpg,00063.jpg,774,1032,Ferrari FF Coupe 2012,175,330,928,647,101
Toyota Camry Sedan 2012/00064.jpg,00064.jpg,768,1024,Toyota Camry Sedan 2012,97,39,925,700,187
Aston Martin V8 Vantage Convertible 2012/00065.jpg,00065.jpg,361,500,Aston Martin V8 Vantage Convertible 2012,63,175,417,320,8
Audi 100 Sedan 1994/00066.jpg,00066.jpg,194,259,Audi 100 Sedan 1994,30,39,221,125,17
Ford Ranger SuperCab 2011/00067.jpg,00067.jpg,480,640,Ford Ranger SuperCab 2011,129,89,594,432,111
GMC Canyon Extended Cab 2012/00068.jpg,00068.jpg,438,640,GMC Canyon Extended Cab 2012,32,43,598,350,122
Acura TSX Sedan 2012/00069.jpg,00069.jpg,533,800,Acura TSX Sedan 2012,142,124,675,445,5
BMW 3 Series Sedan 2012/00070.jpg,00070.jpg,1200,1600,BMW 3 Series Sedan 2012,220,313,1054,976,29
Honda Odyssey Minivan 2012/00071.jpg,00071.jpg,305,643,Honda Odyssey Minivan 2012,8,12,639,299,126
Dodge Durango SUV 2012/00072.jpg,00072.jpg,850,1280,Dodge Durango SUV 2012,92,271,1178,749,94
Ford F-450 Super Duty Crew Cab 2012/00073.jpg,00073.jpg,240,320,Ford F-450 Super Duty Crew Cab 2012,15,12,314,230,106
Ford F-450 Super Duty Crew Cab 2012/00074.jpg,00074.jpg,240,320,Ford F-450 Super Duty Crew Cab 2012,14,12,309,223,106
Toyota Corolla Sedan 2012/00075.jpg,00075.jpg,286,550,Toyota Corolla Sedan 2012,45,74,522,253,188
Chevrolet Camaro Convertible 2012/00076.jpg,00076.jpg,187,300,Chevrolet Camaro Convertible 2012,12,27,284,166,59
Ford Edge SUV 2012/00077.jpg,00077.jpg,2153,3552,Ford Edge SUV 2012,25,25,3502,2017,110
Bentley Continental GT Coupe 2007/00078.jpg,00078.jpg,480,640,Bentley Continental GT Coupe 2007,36,88,611,417,43
Hyundai Veracruz SUV 2012/00079.jpg,00079.jpg,469,750,Hyundai Veracruz SUV 2012,165,126,749,425,133
Ford Ranger SuperCab 2011/00080.jpg,00080.jpg,224,300,Ford Ranger SuperCab 2011,20,21,292,217,111
Aston Martin V8 Vantage Convertible 2012/00081.jpg,00081.jpg,301,550,Aston Martin V8 Vantage Convertible 2012,10,55,540,271,8
Volkswagen Beetle Hatchback 2012/00082.jpg,00082.jpg,480,640,Volkswagen Beetle Hatchback 2012,63,113,597,413,192
Audi 100 Wagon 1994/00083.jpg,00083.jpg,225,300,Audi 100 Wagon 1994,55,48,294,205,18
Ford E-Series Wagon Van 2012/00084.jpg,00084.jpg,480,640,Ford E-Series Wagon Van 2012,27,67,620,474,116
Buick Verano Sedan 2012/00085.jpg,00085.jpg,480,640,Buick Verano Sedan 2012,15,80,629,402,49
Jeep Patriot SUV 2012/00086.jpg,00086.jpg,920,1500,Jeep Patriot SUV 2012,119,300,1416,871,145
Buick Verano Sedan 2012/00087.jpg,00087.jpg,234,467,Buick Verano Sedan 2012,17,36,455,215,49
Nissan Juke Hatchback 2012/00088.jpg,00088.jpg,1944,2592,Nissan Juke Hatchback 2012,171,176,2373,1751,170
Audi S6 Sedan 2011/00089.jpg,00089.jpg,768,1024,Audi S6 Sedan 2011,49,195,1003,617,20
Ford F-150 Regular Cab 2007/00090.jpg,00090.jpg,225,300,Ford F-150 Regular Cab 2007,5,43,296,211,114
Mercedes-Benz S-Class Sedan 2012/00091.jpg,00091.jpg,480,640,Mercedes-Benz S-Class Sedan 2012,49,57,494,419,165
Hyundai Sonata Sedan 2012/00092.jpg,00092.jpg,338,600,Hyundai Sonata Sedan 2012,101,84,492,272,138
Rolls-Royce Phantom Drophead Coupe Convertible 2012/00093.jpg,00093.jpg,183,275,Rolls-Royce Phantom Drophead Coupe Convertible 2012,23,53,258,144,175
Ford GT Coupe 2006/00094.jpg,00094.jpg,491,786,Ford GT Coupe 2006,19,60,783,440,112
GMC Canyon Extended Cab 2012/00095.jpg,00095.jpg,782,1280,GMC Canyon Extended Cab 2012,110,171,1213,648,122
Ferrari 458 Italia Coupe 2012/00096.jpg,00096.jpg,265,400,Ferrari 458 Italia Coupe 2012,39,67,346,206,104
Chevrolet Corvette Ron Fellows Edition Z06 2007/00097.jpg,00097.jpg,58,78,Chevrolet Corvette Ron Fellows Edition Z06 2007,3,7,76,50,57
Cadillac CTS-V Sedan 2012/00098.jpg,00098.jpg,426,640,Cadillac CTS-V Sedan 2012,65,37,578,360,51
BMW X3 SUV 2012/00099.jpg,00099.jpg,383,510,BMW X3 SUV 2012,27,60,486,364,37
Chevrolet Express Van 2007/00100.jpg,00100.jpg,360,480,Chevrolet Express Van 2007,22,180,454,355,71
Volvo C30 Hatchback 2012/00101.jpg,00101.jpg,768,1024,Volvo C30 Hatchback 2012,70,39,940,742,193
Fisker Karma Sedan 2012/00102.jpg,00102.jpg,360,480,Fisker Karma Sedan 2012,99,130,396,222,105
Chevrolet Impala Sedan 2007/00103.jpg,00103.jpg,480,640,Chevrolet Impala Sedan 2007,85,107,609,381,61
Chevrolet Silverado 1500 Extended Cab 2012/00104.jpg,00104.jpg,360,480,Chevrolet Silverado 1500 Extended Cab 2012,1,76,480,315,74
Hyundai Veracruz SUV 2012/00105.jpg,00105.jpg,768,1024,Hyundai Veracruz SUV 2012,57,266,967,623,133
Mercedes-Benz C-Class Sedan 2012/00106.jpg,00106.jpg,225,300,Mercedes-Benz C-Class Sedan 2012,69,75,236,161,162
Hyundai Santa Fe SUV 2012/00107.jpg,00107.jpg,182,276,Hyundai Santa Fe SUV 2012,24,17,249,163,131
Dodge Sprinter Cargo Van 2009/00108.jpg,00108.jpg,159,212,Dodge Sprinter Cargo Van 2009,7,27,212,147,88
GMC Acadia SUV 2012/00109.jpg,00109.jpg,194,259,GMC Acadia SUV 2012,18,14,248,168,121
Spyker C8 Coupe 2009/00110.jpg,00110.jpg,398,600,Spyker C8 Coupe 2009,19,2,591,387,180
Spyker C8 Coupe 2009/00111.jpg,00111.jpg,532,800,Spyker C8 Coupe 2009,52,6,759,513,180
Hyundai Genesis Sedan 2012/00112.jpg,00112.jpg,274,500,Hyundai Genesis Sedan 2012,231,103,430,226,137
Hyundai Veracruz SUV 2012/00113.jpg,00113.jpg,682,1024,Hyundai Veracruz SUV 2012,91,148,700,582,133
Chevrolet Express Van 2007/00114.jpg,00114.jpg,426,640,Chevrolet Express Van 2007,19,72,624,397,71
Dodge Caliber Wagon 2012/00115.jpg,00115.jpg,267,400,Dodge Caliber Wagon 2012,26,90,376,243,83
Ford Edge SUV 2012/00116.jpg,00116.jpg,492,786,Ford Edge SUV 2012,132,120,667,401,110
Bentley Continental GT Coupe 2012/00117.jpg,00117.jpg,383,753,Bentley Continental GT Coupe 2012,84,44,663,342,42
Rolls-Royce Phantom Sedan 2012/00118.jpg,00118.jpg,420,630,Rolls-Royce Phantom Sedan 2012,87,235,591,412,177
Jeep Liberty SUV 2012/00119.jpg,00119.jpg,1026,1368,Jeep Liberty SUV 2012,173,370,1207,960,147
Mercedes-Benz 300-Class Convertible 1993/00120.jpg,00120.jpg,150,200,Mercedes-Benz 300-Class Convertible 1993,3,19,195,114,161
Ford Expedition EL SUV 2009/00121.jpg,00121.jpg,480,640,Ford Expedition EL SUV 2009,49,143,487,455,109
BMW 1 Series Coupe 2012/00122.jpg,00122.jpg,200,300,BMW 1 Series Coupe 2012,72,67,233,176,28
Jaguar XK XKR 2012/00123.jpg,00123.jpg,1575,2100,Jaguar XK XKR 2012,151,568,1954,1271,144
Cadillac Escalade EXT Crew Cab 2007/00124.jpg,00124.jpg,214,285,Cadillac Escalade EXT Crew Cab 2007,14,88,271,178,53
BMW 3 Series Sedan 2012/00125.jpg,00125.jpg,1536,2048,BMW 3 Series Sedan 2012,135,761,1894,1353,29
Chevrolet Cobalt SS 2010/00126.jpg,00126.jpg,533,800,Chevrolet Cobalt SS 2010,44,123,778,487,66
Chrysler 300 SRT-8 2010/00127.jpg,00127.jpg,387,620,Chrysler 300 SRT-8 2010,69,103,537,322,79
Audi A5 Coupe 2012/00128.jpg,00128.jpg,329,438,Audi A5 Coupe 2012,86,78,355,284,13
Hyundai Accent Sedan 2012/00129.jpg,00129.jpg,348,607,Hyundai Accent Sedan 2012,50,80,592,273,136
Isuzu Ascender SUV 2008/00130.jpg,00130.jpg,480,640,Isuzu Ascender SUV 2008,95,161,543,368,143
Nissan 240SX Coupe 1998/00131.jpg,00131.jpg,720,960,Nissan 240SX Coupe 1998,275,195,863,474,171
Dodge Journey SUV 2012/00132.jpg,00132.jpg,480,640,Dodge Journey SUV 2012,99,78,557,389,89
Hyundai Elantra Sedan 2007/00133.jpg,00133.jpg,360,480,Hyundai Elantra Sedan 2007,11,126,426,360,135
Mercedes-Benz 300-Class Convertible 1993/00134.jpg,00134.jpg,187,270,Mercedes-Benz 300-Class Convertible 1993,1,2,267,185,161
Chevrolet Traverse SUV 2012/00135.jpg,00135.jpg,2448,3264,Chevrolet Traverse SUV 2012,19,735,2669,2192,58
GMC Canyon Extended Cab 2012/00136.jpg,00136.jpg,225,300,GMC Canyon Extended Cab 2012,21,35,279,195,122
Scion xD Hatchback 2012/00137.jpg,00137.jpg,480,640,Scion xD Hatchback 2012,45,99,593,403,178
Chevrolet Corvette ZR1 2012/00138.jpg,00138.jpg,1051,1600,Chevrolet Corvette ZR1 2012,130,282,1425,900,56
Suzuki SX4 Sedan 2012/00139.jpg,00139.jpg,535,800,Suzuki SX4 Sedan 2012,72,215,628,481,184
Volkswagen Golf Hatchback 1991/00140.jpg,00140.jpg,480,640,Volkswagen Golf Hatchback 1991,62,95,633,434,191
Bentley Arnage Sedan 2009/00141.jpg,00141.jpg,360,480,Bentley Arnage Sedan 2009,13,106,476,260,40
Chevrolet HHR SS 2010/00142.jpg,00142.jpg,683,1024,Chevrolet HHR SS 2010,78,300,952,633,60
Land Rover LR2 SUV 2012/00143.jpg,00143.jpg,429,665,Land Rover LR2 SUV 2012,72,51,566,412,155
Chevrolet Express Van 2007/00144.jpg,00144.jpg,266,355,Chevrolet Express Van 2007,66,59,283,202,71
Hyundai Azera Sedan 2012/00145.jpg,00145.jpg,938,1500,Hyundai Azera Sedan 2012,135,36,1181,885,140
Bentley Continental GT Coupe 2012/00146.jpg,00146.jpg,166,300,Bentley Continental GT Coupe 2012,2,5,298,162,42
Chrysler Aspen SUV 2009/00147.jpg,00147.jpg,346,787,Chrysler Aspen SUV 2009,8,12,770,309,76
Toyota Camry Sedan 2012/00148.jpg,00148.jpg,480,640,Toyota Camry Sedan 2012,24,78,608,379,187
Dodge Ram Pickup 3500 Crew Cab 2010/00149.jpg,00149.jpg,179,282,Dodge Ram Pickup 3500 Crew Cab 2010,34,1,242,179,86
Aston Martin V8 Vantage Convertible 2012/00150.jpg,00150.jpg,456,608,Aston Martin V8 Vantage Convertible 2012,11,208,596,386,8
Acura TSX Sedan 2012/00151.jpg,00151.jpg,182,300,Acura TSX Sedan 2012,8,37,294,150,5
Buick Regal GS 2012/00152.jpg,00152.jpg,335,630,Buick Regal GS 2012,23,66,499,311,47
BMW 3 Series Wagon 2012/00153.jpg,00153.jpg,480,640,BMW 3 Series Wagon 2012,6,138,627,361,30
Audi 100 Wagon 1994/00154.jpg,00154.jpg,260,400,Audi 100 Wagon 1994,17,105,385,243,18
Jeep Compass SUV 2012/00155.jpg,00155.jpg,1200,1600,Jeep Compass SUV 2012,76,4,1585,1120,149
Ram C-V Cargo Van Minivan 2012/00156.jpg,00156.jpg,166,250,Ram C-V Cargo Van Minivan 2012,22,21,211,139,174
Hyundai Sonata Sedan 2012/00157.jpg,00157.jpg,768,1024,Hyundai Sonata Sedan 2012,32,130,973,661,138
Spyker C8 Convertible 2009/00158.jpg,00158.jpg,960,1280,Spyker C8 Convertible 2009,75,236,1196,846,179
Audi S4 Sedan 2007/00159.jpg,00159.jpg,768,1024,Audi S4 Sedan 2007,37,139,988,694,24
Bentley Continental GT Coupe 2012/00160.jpg,00160.jpg,350,625,Bentley Continental GT Coupe 2012,114,46,546,287,42
Chevrolet Malibu Sedan 2007/00161.jpg,00161.jpg,480,640,Chevrolet Malibu Sedan 2007,12,83,629,354,73
Rolls-Royce Ghost Sedan 2012/00162.jpg,00162.jpg,450,600,Rolls-Royce Ghost Sedan 2012,38,66,548,385,176
AM General Hummer SUV 2000/00163.jpg,00163.jpg,525,700,AM General Hummer SUV 2000,46,84,661,428,1
BMW X3 SUV 2012/00164.jpg,00164.jpg,194,259,BMW X3 SUV 2012,13,29,239,174,37
BMW M6 Convertible 2010/00165.jpg,00165.jpg,221,500,BMW M6 Convertible 2010,27,65,490,220,36
Ford Freestar Minivan 2007/00166.jpg,00166.jpg,360,424,Ford Freestar Minivan 2007,4,69,402,245,108
Bentley Mulsanne Sedan 2011/00167.jpg,00167.jpg,275,440,Bentley Mulsanne Sedan 2011,19,27,429,258,41
Bentley Arnage Sedan 2009/00168.jpg,00168.jpg,480,640,Bentley Arnage Sedan 2009,110,96,565,389,40
GMC Savana Van 2012/00169.jpg,00169.jpg,104,140,GMC Savana Van 2012,2,22,140,81,119
GMC Savana Van 2012/00170.jpg,00170.jpg,480,640,GMC Savana Van 2012,48,71,615,453,119
Audi TT Hatchback 2011/00171.jpg,00171.jpg,183,300,Audi TT Hatchback 2011,41,42,262,170,19
Mercedes-Benz SL-Class Coupe 2009/00172.jpg,00172.jpg,305,500,Mercedes-Benz SL-Class Coupe 2009,6,108,493,267,163
GMC Yukon Hybrid SUV 2012/00173.jpg,00173.jpg,398,530,GMC Yukon Hybrid SUV 2012,26,61,508,342,120
Chevrolet Silverado 1500 Hybrid Crew Cab 2012/00174.jpg,00174.jpg,194,259,Chevrolet Silverado 1500 Hybrid Crew Cab 2012,13,29,249,159,54
Ford E-Series Wagon Van 2012/00175.jpg,00175.jpg,533,800,Ford E-Series Wagon Van 2012,69,120,739,502,116
Chevrolet Cobalt SS 2010/00176.jpg,00176.jpg,768,1024,Chevrolet Cobalt SS 2010,45,85,1005,558,66
Buick Enclave SUV 2012/00177.jpg,00177.jpg,326,700,Buick Enclave SUV 2012,98,22,650,302,50
GMC Canyon Extended Cab 2012/00178.jpg,00178.jpg,168,300,GMC Canyon Extended Cab 2012,5,28,285,148,122
Land Rover LR2 SUV 2012/00179.jpg,00179.jpg,480,640,Land Rover LR2 SUV 2012,42,113,601,439,155
Infiniti QX56 SUV 2011/00180.jpg,00180.jpg,189,300,Infiniti QX56 SUV 2011,3,40,297,157,142
Chevrolet TrailBlazer SS 2009/00181.jpg,00181.jpg,768,1024,Chevrolet TrailBlazer SS 2009,84,256,913,752,68
Nissan Juke Hatchback 2012/00182.jpg,00182.jpg,733,1024,Nissan Juke Hatchback 2012,43,226,1001,630,170
Mercedes-Benz 300-Class Convertible 1993/00183.jpg,00183.jpg,150,200,Mercedes-Benz 300-Class Convertible 1993,2,9,196,125,161
Mercedes-Benz 300-Class Convertible 1993/00184.jpg,00184.jpg,426,640,Mercedes-Benz 300-Class Convertible 1993,34,51,604,344,161
Hyundai Veracruz SUV 2012/00185.jpg,00185.jpg,480,640,Hyundai Veracruz SUV 2012,24,35,620,438,133
HUMMER H2 SUT Crew Cab 2009/00186.jpg,00186.jpg,199,266,HUMMER H2 SUT Crew Cab 2009,6,72,255,178,125
McLaren MP4-12C Coupe 2012/00187.jpg,00187.jpg,1200,1600,McLaren MP4-12C Coupe 2012,4,408,1600,934,160
Dodge Challenger SRT8 2011/00188.jpg,00188.jpg,853,1280,Dodge Challenger SRT8 2011,25,162,1241,764,93
Suzuki SX4 Hatchback 2012/00189.jpg,00189.jpg,480,640,Suzuki SX4 Hatchback 2012,18,15,583,421,183
Bugatti Veyron 16.4 Convertible 2009/00190.jpg,00190.jpg,960,1280,Bugatti Veyron 16.4 Convertible 2009,198,416,1271,935,45
Isuzu Ascender SUV 2008/00191.jpg,00191.jpg,469,750,Isuzu Ascender SUV 2008,129,75,654,422,143
Toyota 4Runner SUV 2012/00192.jpg,00192.jpg,225,300,Toyota 4Runner SUV 2012,37,24,259,212,189
Buick Rainier SUV 2007/00193.jpg,00193.jpg,768,1024,Buick Rainier SUV 2007,82,107,990,723,48
Rolls-Royce Ghost Sedan 2012/00194.jpg,00194.jpg,782,1280,Rolls-Royce Ghost Sedan 2012,187,327,1211,769,176
Chrysler Sebring Convertible 2010/00195.jpg,00195.jpg,1080,1440,Chrysler Sebring Convertible 2010,150,339,1313,771,77
Volkswagen Golf Hatchback 2012/00196.jpg,00196.jpg,225,300,Volkswagen Golf Hatchback 2012,26,46,266,213,190
Ford Edge SUV 2012/00197.jpg,00197.jpg,436,540,Ford Edge SUV 2012,47,102,492,371,110
Acura Integra Type R 2001/00198.jpg,00198.jpg,450,600,Acura Integra Type R 2001,91,121,574,357,6
Volkswagen Golf Hatchback 1991/00199.jpg,00199.jpg,1200,1600,Volkswagen Golf Hatchback 1991,151,298,1285,835,191
Audi V8 Sedan 1994/00200.jpg,00200.jpg,255,340,Audi V8 Sedan 1994,30,55,301,187,16
Audi RS 4 Convertible 2008/00201.jpg,00201.jpg,200,400,Audi RS 4 Convertible 2008,21,1,386,200,12
Dodge Dakota Crew Cab 2010/00202.jpg,00202.jpg,1067,1600,Dodge Dakota Crew Cab 2010,233,217,1228,807,90
Toyota Corolla Sedan 2012/00203.jpg,00203.jpg,640,960,Toyota Corolla Sedan 2012,30,167,945,545,188
Honda Accord Coupe 2012/00204.jpg,00204.jpg,169,300,Honda Accord Coupe 2012,11,61,284,151,128
Audi S4 Sedan 2012/00205.jpg,00205.jpg,426,640,Audi S4 Sedan 2012,29,70,612,356,23
Aston Martin Virage Coupe 2012/00206.jpg,00206.jpg,480,640,Aston Martin Virage Coupe 2012,117,222,558,434,11
Dodge Challenger SRT8 2011/00207.jpg,00207.jpg,372,470,Dodge Challenger SRT8 2011,31,119,438,258,93
Aston Martin V8 Vantage Convertible 2012/00208.jpg,00208.jpg,282,376,Aston Martin V8 Vantage Convertible 2012,26,151,360,256,8
Chevrolet Sonic Sedan 2012/00209.jpg,00209.jpg,667,1000,Chevrolet Sonic Sedan 2012,58,136,973,636,63
Porsche Panamera Sedan 2012/00210.jpg,00210.jpg,480,640,Porsche Panamera Sedan 2012,8,80,639,366,173
Rolls-Royce Ghost Sedan 2012/00211.jpg,00211.jpg,397,608,Rolls-Royce Ghost Sedan 2012,11,47,598,365,176
Chevrolet Monte Carlo Coupe 2007/00212.jpg,00212.jpg,194,259,Chevrolet Monte Carlo Coupe 2007,8,20,254,155,72
Volvo XC90 SUV 2007/00213.jpg,00213.jpg,225,300,Volvo XC90 SUV 2007,37,62,261,191,195
Ford F-150 Regular Cab 2007/00214.jpg,00214.jpg,768,1024,Ford F-150 Regular Cab 2007,70,78,915,640,114
Chevrolet Monte Carlo Coupe 2007/00215.jpg,00215.jpg,194,259,Chevrolet Monte Carlo Coupe 2007,38,50,221,138,72
GMC Savana Van 2012/00216.jpg,00216.jpg,108,144,GMC Savana Van 2012,21,45,133,88,119
Audi 100 Wagon 1994/00217.jpg,00217.jpg,480,640,Audi 100 Wagon 1994,45,39,594,444,18
Chrysler Sebring Convertible 2010/00218.jpg,00218.jpg,300,400,Chrysler Sebring Convertible 2010,39,94,337,245,77
Audi 100 Wagon 1994/00219.jpg,00219.jpg,359,640,Audi 100 Wagon 1994,89,1,597,316,18
Ford Mustang Convertible 2007/00220.jpg,00220.jpg,360,480,Ford Mustang Convertible 2007,16,103,462,347,107
Aston Martin Virage Convertible 2012/00221.jpg,00221.jpg,331,500,Aston Martin Virage Convertible 2012,29,21,477,299,10
smart fortwo Convertible 2012/00222.jpg,00222.jpg,388,620,smart fortwo Convertible 2012,89,58,545,338,196
FIAT 500 Abarth 2012/00223.jpg,00223.jpg,333,500,FIAT 500 Abarth 2012,42,115,299,288,99
