imageName,imagePath,class,height,width
03309.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/03309.jpg,GMC Canyon Extended Cab 2012,768,1024
01902.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/01902.jpg,GMC Canyon Extended Cab 2012,360,480
07183.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/07183.jpg,GMC Canyon Extended Cab 2012,360,480
02466.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/02466.jpg,GMC Canyon Extended Cab 2012,598,900
00270.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/00270.jpg,GMC Canyon Extended Cab 2012,224,375
05532.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/05532.jpg,GMC Canyon Extended Cab 2012,1064,1600
02288.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/02288.jpg,GMC Canyon Extended Cab 2012,253,600
06160.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/06160.jpg,GMC Canyon Extended Cab 2012,768,1024
04574.jpg,Dataset/Car Images/Train Images/GMC Canyon Extended Cab 2012/04574.jpg,GMC Canyon Extended Cab 2012,300,400
02136.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/02136.jpg,Hyundai Santa Fe SUV 2012,338,600
07662.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/07662.jpg,Hyundai Santa Fe SUV 2012,768,1024
04974.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/04974.jpg,Hyundai Santa Fe SUV 2012,225,300
04964.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/04964.jpg,Hyundai Santa Fe SUV 2012,225,300
05515.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/05515.jpg,Hyundai Santa Fe SUV 2012,300,400
00254.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/00254.jpg,Hyundai Santa Fe SUV 2012,161,300
04740.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/04740.jpg,Hyundai Santa Fe SUV 2012,480,640
07428.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/07428.jpg,Hyundai Santa Fe SUV 2012,471,564
04684.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/04684.jpg,Hyundai Santa Fe SUV 2012,960,1280
05161.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/05161.jpg,Hyundai Santa Fe SUV 2012,480,640
03667.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/03667.jpg,Hyundai Santa Fe SUV 2012,183,275
01528.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/01528.jpg,Hyundai Santa Fe SUV 2012,199,300
01648.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/01648.jpg,Hyundai Santa Fe SUV 2012,194,259
06325.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/06325.jpg,Hyundai Santa Fe SUV 2012,218,300
07942.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/07942.jpg,Hyundai Santa Fe SUV 2012,213,300
07611.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/07611.jpg,Hyundai Santa Fe SUV 2012,480,640
00395.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/00395.jpg,Hyundai Santa Fe SUV 2012,194,259
05400.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/05400.jpg,Hyundai Santa Fe SUV 2012,194,259
01100.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/01100.jpg,Hyundai Santa Fe SUV 2012,938,1500
07773.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/07773.jpg,Hyundai Santa Fe SUV 2012,420,560
00790.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/00790.jpg,Hyundai Santa Fe SUV 2012,1200,1920
01695.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/01695.jpg,Hyundai Santa Fe SUV 2012,194,259
01279.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/01279.jpg,Hyundai Santa Fe SUV 2012,250,300
00629.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/00629.jpg,Hyundai Santa Fe SUV 2012,194,259
07436.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/07436.jpg,Hyundai Santa Fe SUV 2012,211,300
06476.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/06476.jpg,Hyundai Santa Fe SUV 2012,194,259
02765.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/02765.jpg,Hyundai Santa Fe SUV 2012,194,259
03133.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/03133.jpg,Hyundai Santa Fe SUV 2012,183,275
01693.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/01693.jpg,Hyundai Santa Fe SUV 2012,768,1024
00388.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/00388.jpg,Hyundai Santa Fe SUV 2012,192,256
00571.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/00571.jpg,Hyundai Santa Fe SUV 2012,194,259
00107.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/00107.jpg,Hyundai Santa Fe SUV 2012,182,276
08003.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/08003.jpg,Hyundai Santa Fe SUV 2012,192,256
01387.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/01387.jpg,Hyundai Santa Fe SUV 2012,480,640
00310.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/00310.jpg,Hyundai Santa Fe SUV 2012,360,424
01742.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/01742.jpg,Hyundai Santa Fe SUV 2012,194,259
04148.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/04148.jpg,Hyundai Santa Fe SUV 2012,199,300
04997.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/04997.jpg,Hyundai Santa Fe SUV 2012,315,500
00883.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/00883.jpg,Hyundai Santa Fe SUV 2012,428,656
04987.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/04987.jpg,Hyundai Santa Fe SUV 2012,469,750
06968.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/06968.jpg,Hyundai Santa Fe SUV 2012,333,500
05044.jpg,Dataset/Car Images/Train Images/Hyundai Santa Fe SUV 2012/05044.jpg,Hyundai Santa Fe SUV 2012,197,264
05103.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/05103.jpg,Dodge Durango SUV 2012,425,640
03228.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/03228.jpg,Dodge Durango SUV 2012,468,625
00284.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/00284.jpg,Dodge Durango SUV 2012,768,1024
07924.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/07924.jpg,Dodge Durango SUV 2012,768,1024
07465.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/07465.jpg,Dodge Durango SUV 2012,443,590
06948.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/06948.jpg,Dodge Durango SUV 2012,427,640
03039.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/03039.jpg,Dodge Durango SUV 2012,392,640
03776.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/03776.jpg,Dodge Durango SUV 2012,480,640
02291.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/02291.jpg,Dodge Durango SUV 2012,480,640
00321.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/00321.jpg,Dodge Durango SUV 2012,480,640
07248.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/07248.jpg,Dodge Durango SUV 2012,480,640
01188.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/01188.jpg,Dodge Durango SUV 2012,355,550
05847.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/05847.jpg,Dodge Durango SUV 2012,768,1024
03601.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/03601.jpg,Dodge Durango SUV 2012,768,1024
03869.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/03869.jpg,Dodge Durango SUV 2012,468,625
07762.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/07762.jpg,Dodge Durango SUV 2012,480,640
03920.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/03920.jpg,Dodge Durango SUV 2012,560,750
03897.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/03897.jpg,Dodge Durango SUV 2012,350,543
05799.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/05799.jpg,Dodge Durango SUV 2012,480,640
07615.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/07615.jpg,Dodge Durango SUV 2012,392,585
01339.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/01339.jpg,Dodge Durango SUV 2012,480,640
04889.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/04889.jpg,Dodge Durango SUV 2012,480,640
06651.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/06651.jpg,Dodge Durango SUV 2012,445,595
08050.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/08050.jpg,Dodge Durango SUV 2012,480,640
01288.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/01288.jpg,Dodge Durango SUV 2012,768,1024
05550.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/05550.jpg,Dodge Durango SUV 2012,768,1024
06461.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/06461.jpg,Dodge Durango SUV 2012,480,640
04102.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/04102.jpg,Dodge Durango SUV 2012,768,1024
04700.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/04700.jpg,Dodge Durango SUV 2012,469,750
02601.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/02601.jpg,Dodge Durango SUV 2012,960,1280
07430.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/07430.jpg,Dodge Durango SUV 2012,400,869
05227.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/05227.jpg,Dodge Durango SUV 2012,553,800
01295.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/01295.jpg,Dodge Durango SUV 2012,480,640
01242.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/01242.jpg,Dodge Durango SUV 2012,480,640
05731.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/05731.jpg,Dodge Durango SUV 2012,403,960
03036.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/03036.jpg,Dodge Durango SUV 2012,480,640
07244.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/07244.jpg,Dodge Durango SUV 2012,315,615
00072.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/00072.jpg,Dodge Durango SUV 2012,850,1280
07332.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/07332.jpg,Dodge Durango SUV 2012,582,950
02729.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/02729.jpg,Dodge Durango SUV 2012,468,625
07057.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/07057.jpg,Dodge Durango SUV 2012,1536,2048
03797.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/03797.jpg,Dodge Durango SUV 2012,468,625
04615.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/04615.jpg,Dodge Durango SUV 2012,435,653
01547.jpg,Dataset/Car Images/Train Images/Dodge Durango SUV 2012/01547.jpg,Dodge Durango SUV 2012,504,950
07852.jpg,Dataset/Car Images/Train Images/Chevrolet Silverado 1500 Extended Cab 2012/07852.jpg,Chevrolet Silverado 1500 Extended Cab 2012,720,960
04234.jpg,Dataset/Car Images/Train Images/Chevrolet Silverado 1500 Extended Cab 2012/04234.jpg,Chevrolet Silverado 1500 Extended Cab 2012,360,480
05842.jpg,Dataset/Car Images/Train Images/Chevrolet Silverado 1500 Extended Cab 2012/05842.jpg,Chevrolet Silverado 1500 Extended Cab 2012,333,500
00722.jpg,Dataset/Car Images/Train Images/Chevrolet Silverado 1500 Extended Cab 2012/00722.jpg,Chevrolet Silverado 1500 Extended Cab 2012,480,640
04622.jpg,Dataset/Car Images/Train Images/Chevrolet Silverado 1500 Extended Cab 2012/04622.jpg,Chevrolet Silverado 1500 Extended Cab 2012,360,480
04187.jpg,Dataset/Car Images/Train Images/Chevrolet Silverado 1500 Extended Cab 2012/04187.jpg,Chevrolet Silverado 1500 Extended Cab 2012,480,640
01941.jpg,Dataset/Car Images/Train Images/Chevrolet Silverado 1500 Extended Cab 2012/01941.jpg,Chevrolet Silverado 1500 Extended Cab 2012,1728,2304
02125.jpg,Dataset/Car Images/Train Images/Chevrolet Silverado 1500 Extended Cab 2012/02125.jpg,Chevrolet Silverado 1500 Extended Cab 2012,496,640
02859.jpg,Dataset/Car Images/Train Images/Chevrolet Silverado 1500 Extended Cab 2012/02859.jpg,Chevrolet Silverado 1500 Extended Cab 2012,468,625
06356.jpg,Dataset/Car Images/Train Images/Chevrolet Silverado 1500 Extended Cab 2012/06356.jpg,Chevrolet Silverado 1500 Extended Cab 2012,225,300
07328.jpg,Dataset/Car Images/Train Images/Chevrolet Silverado 1500 Extended Cab 2012/07328.jpg,Chevrolet Silverado 1500 Extended Cab 2012,480,640
06180.jpg,Dataset/Car Images/Train Images/Chevrolet Silverado 1500 Extended Cab 2012/06180.jpg,Chevrolet Silverado 1500 Extended Cab 2012,175,264
00268.jpg,Dataset/Car Images/Train Images/Chevrolet Silverado 1500 Extended Cab 2012/00268.jpg,Chevrolet Silverado 1500 Extended Cab 2012,426,640
02912.jpg,Dataset/Car Images/Train Images/Chevrolet Silverado 1500 Extended Cab 2012/02912.jpg,Chevrolet Silverado 1500 Extended Cab 2012,182,276
06044.jpg,Dataset/Car Images/Train Images/Chevrolet Silverado 1500 Extended Cab 2012/06044.jpg,Chevrolet Silverado 1500 Extended Cab 2012,298,400
05808.jpg,Dataset/Car Images/Train Images/Chevrolet Silverado 1500 Extended Cab 2012/05808.jpg,Chevrolet Silverado 1500 Extended Cab 2012,768,1024
03117.jpg,Dataset/Car Images/Train Images/Chevrolet Silverado 1500 Extended Cab 2012/03117.jpg,Chevrolet Silverado 1500 Extended Cab 2012,360,480
03856.jpg,Dataset/Car Images/Train Images/Chevrolet Silverado 1500 Extended Cab 2012/03856.jpg,Chevrolet Silverado 1500 Extended Cab 2012,225,300
01649.jpg,Dataset/Car Images/Train Images/Chevrolet Silverado 1500 Extended Cab 2012/01649.jpg,Chevrolet Silverado 1500 Extended Cab 2012,480,640
06268.jpg,Dataset/Car Images/Train Images/Chevrolet Silverado 1500 Extended Cab 2012/06268.jpg,Chevrolet Silverado 1500 Extended Cab 2012,471,630
04721.jpg,Dataset/Car Images/Train Images/Chevrolet Silverado 1500 Extended Cab 2012/04721.jpg,Chevrolet Silverado 1500 Extended Cab 2012,194,259
04898.jpg,Dataset/Car Images/Train Images/Chevrolet Silverado 1500 Extended Cab 2012/04898.jpg,Chevrolet Silverado 1500 Extended Cab 2012,425,640
07361.jpg,Dataset/Car Images/Train Images/Chevrolet Silverado 1500 Extended Cab 2012/07361.jpg,Chevrolet Silverado 1500 Extended Cab 2012,419,700
06848.jpg,Dataset/Car Images/Train Images/Chevrolet Silverado 1500 Extended Cab 2012/06848.jpg,Chevrolet Silverado 1500 Extended Cab 2012,194,259
01327.jpg,Dataset/Car Images/Train Images/Chevrolet Silverado 1500 Extended Cab 2012/01327.jpg,Chevrolet Silverado 1500 Extended Cab 2012,267,400
01694.jpg,Dataset/Car Images/Train Images/Chevrolet Silverado 1500 Extended Cab 2012/01694.jpg,Chevrolet Silverado 1500 Extended Cab 2012,480,640
03526.jpg,Dataset/Car Images/Train Images/Chevrolet Silverado 1500 Extended Cab 2012/03526.jpg,Chevrolet Silverado 1500 Extended Cab 2012,352,576
03862.jpg,Dataset/Car Images/Train Images/Chevrolet Silverado 1500 Extended Cab 2012/03862.jpg,Chevrolet Silverado 1500 Extended Cab 2012,225,300
02365.jpg,Dataset/Car Images/Train Images/Chevrolet Silverado 1500 Extended Cab 2012/02365.jpg,Chevrolet Silverado 1500 Extended Cab 2012,768,1024
03906.jpg,Dataset/Car Images/Train Images/Chevrolet Silverado 1500 Extended Cab 2012/03906.jpg,Chevrolet Silverado 1500 Extended Cab 2012,360,480
01309.jpg,Dataset/Car Images/Train Images/Chevrolet Silverado 1500 Extended Cab 2012/01309.jpg,Chevrolet Silverado 1500 Extended Cab 2012,225,300
02212.jpg,Dataset/Car Images/Train Images/Chevrolet Silverado 1500 Extended Cab 2012/02212.jpg,Chevrolet Silverado 1500 Extended Cab 2012,441,588
07395.jpg,Dataset/Car Images/Train Images/Chevrolet Silverado 1500 Extended Cab 2012/07395.jpg,Chevrolet Silverado 1500 Extended Cab 2012,194,259
07245.jpg,Dataset/Car Images/Train Images/Chevrolet Silverado 1500 Extended Cab 2012/07245.jpg,Chevrolet Silverado 1500 Extended Cab 2012,194,259
01230.jpg,Dataset/Car Images/Train Images/Chevrolet Silverado 1500 Extended Cab 2012/01230.jpg,Chevrolet Silverado 1500 Extended Cab 2012,500,700
